Index | OID        | Off=0    | Off=1    | Off=2    | Off=3    | Off=4    | Off=5    | Off=6    | Off=7    | Off=8    | Off=9    | Off=10   | Off=11   | Off=12   | Off=13   | Off=14   | Off=15   | Off=16   | Off=17   | Off=18   | Off=19  
51    | 1006125   | f27v     | f27r     | f26v     | f26r     | f25v     | f25r     | f24v     | f24r     | f23v     | f23r     | f22v     | f22r     | f21v     | f21r     | f20v     | f20r     | f19v     | f19r     | f18v     | f18r    
52    | 1006126   | f28r     | f27v     | f27r     | f26v     | f26r     | f25v     | f25r     | f24v     | f24r     | f23v     | f23r     | f22v     | f22r     | f21v     | f21r     | f20v     | f20r     | f19v     | f19r     | f18v    
53    | 1006127   | f28v     | f28r     | f27v     | f27r     | f26v     | f26r     | f25v     | f25r     | f24v     | f24r     | f23v     | f23r     | f22v     | f22r     | f21v     | f21r     | f20v     | f20r     | f19v     | f19r    
54    | 1006128   | f29r     | f28v     | f28r     | f27v     | f27r     | f26v     | f26r     | f25v     | f25r     | f24v     | f24r     | f23v     | f23r     | f22v     | f22r     | f21v     | f21r     | f20v     | f20r     | f19v    
55    | 1006129   | f29v     | f29r     | f28v     | f28r     | f27v     | f27r     | f26v     | f26r     | f25v     | f25r     | f24v     | f24r     | f23v     | f23r     | f22v     | f22r     | f21v     | f21r     | f20v     | f20r    
56    | 1006130   | f30r     | f29v     | f29r     | f28v     | f28r     | f27v     | f27r     | f26v     | f26r     | f25v     | f25r     | f24v     | f24r     | f23v     | f23r     | f22v     | f22r     | f21v     | f21r     | f20v    
57    | 1006131   | f30v     | f30r     | f29v     | f29r     | f28v     | f28r     | f27v     | f27r     | f26v     | f26r     | f25v     | f25r     | f24v     | f24r     | f23v     | f23r     | f22v     | f22r     | f21v     | f21r    
58    | 1006132   | f31r     | f30v     | f30r     | f29v     | f29r     | f28v     | f28r     | f27v     | f27r     | f26v     | f26r     | f25v     | f25r     | f24v     | f24r     | f23v     | f23r     | f22v     | f22r     | f21v    
59    | 1006133   | f31v     | f31r     | f30v     | f30r     | f29v     | f29r     | f28v     | f28r     | f27v     | f27r     | f26v     | f26r     | f25v     | f25r     | f24v     | f24r     | f23v     | f23r     | f22v     | f22r    
60    | 1006134   | f32r     | f31v     | f31r     | f30v     | f30r     | f29v     | f29r     | f28v     | f28r     | f27v     | f27r     | f26v     | f26r     | f25v     | f25r     | f24v     | f24r     | f23v     | f23r     | f22v    
61    | 1006135   | f32v     | f32r     | f31v     | f31r     | f30v     | f30r     | f29v     | f29r     | f28v     | f28r     | f27v     | f27r     | f26v     | f26r     | f25v     | f25r     | f24v     | f24r     | f23v     | f23r    
62    | 1006136   | f33r     | f32v     | f32r     | f31v     | f31r     | f30v     | f30r     | f29v     | f29r     | f28v     | f28r     | f27v     | f27r     | f26v     | f26r     | f25v     | f25r     | f24v     | f24r     | f23v    
63    | 1006137   | f33v     | f33r     | f32v     | f32r     | f31v     | f31r     | f30v     | f30r     | f29v     | f29r     | f28v     | f28r     | f27v     | f27r     | f26v     | f26r     | f25v     | f25r     | f24v     | f24r    
64    | 1006138   | f34r     | f33v     | f33r     | f32v     | f32r     | f31v     | f31r     | f30v     | f30r     | f29v     | f29r     | f28v     | f28r     | f27v     | f27r     | f26v     | f26r     | f25v     | f25r     | f24v    
65    | 1006139   | f34v     | f34r     | f33v     | f33r     | f32v     | f32r     | f31v     | f31r     | f30v     | f30r     | f29v     | f29r     | f28v     | f28r     | f27v     | f27r     | f26v     | f26r     | f25v     | f25r    
66    | 1006140   | f35r     | f34v     | f34r     | f33v     | f33r     | f32v     | f32r     | f31v     | f31r     | f30v     | f30r     | f29v     | f29r     | f28v     | f28r     | f27v     | f27r     | f26v     | f26r     | f25v    
67    | 1006141   | f35v     | f35r     | f34v     | f34r     | f33v     | f33r     | f32v     | f32r     | f31v     | f31r     | f30v     | f30r     | f29v     | f29r     | f28v     | f28r     | f27v     | f27r     | f26v     | f26r    
68    | 1006142   | f36r     | f35v     | f35r     | f34v     | f34r     | f33v     | f33r     | f32v     | f32r     | f31v     | f31r     | f30v     | f30r     | f29v     | f29r     | f28v     | f28r     | f27v     | f27r     | f26v    
