Cluster ID,Astronomical_Count,Astronomical_Freq,Biological_Count,Biological_Freq,Herbal_Count,Herbal_Freq,Recipes_Count,Recipes_Freq,Rosettes_Count,Rosettes_Freq,Dominant_Section,Dominant_Share
ea,4,13.175230566534914,2,2.898550724637681,0,0.0,5,4.679895170348185,1,5.497526113249038,Recipes,0.4166666666666667
eai,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,1,5.497526113249038,Herbal,0.5
eam,0,0.0,0,0.0,0,0.0,1,0.9359790340696369,1,5.497526113249038,Recipes,0.5
earcht,0,0.0,0,0.0,3,2.228163992869875,0,0.0,0,0.0,Herbal,1.0
eas,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
ec,0,0.0,0,0.0,0,0.0,4,3.7439161362785476,1,5.497526113249038,Recipes,0.8
ech,0,0.0,0,0.0,0,0.0,8,7.487832272557095,1,5.497526113249038,Recipes,0.8888888888888888
eched,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Herbal,1.0
echo,3,9.881422924901186,0,0.0,1,0.7427213309566251,2,1.8719580681392738,0,0.0,Astronomical,0.5
eck,3,9.881422924901186,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
ecs,3,9.881422924901186,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
ed,24,79.05138339920948,222,321.7391304347826,81,60.16042780748663,216,202.17147135904156,46,252.88620120945575,Biological,0.3769100169779287
eda,0,0.0,2,2.898550724637681,0,0.0,6,5.615874204417821,0,0.0,Recipes,0.75
edai,0,0.0,0,0.0,0,0.0,0,0.0,1,5.497526113249038,Rosettes,1.0
edala,1,3.2938076416337285,3,4.3478260869565215,0,0.0,3,2.8079371022089106,0,0.0,Biological,0.42857142857142855
edale,0,0.0,0,0.0,3,2.228163992869875,0,0.0,0,0.0,Herbal,1.0
edam,0,0.0,0,0.0,2,1.4854426619132501,1,0.9359790340696369,1,5.497526113249038,Herbal,0.5
edaram,0,0.0,0,0.0,4,2.9708853238265003,7,6.551853238487458,0,0.0,Recipes,0.6363636363636364
edarx,0,0.0,1,1.4492753623188406,0,0.0,3,2.8079371022089106,0,0.0,Recipes,0.75
edch,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Herbal,1.0
edck,1,3.2938076416337285,0,0.0,1,0.7427213309566251,2,1.8719580681392738,0,0.0,Recipes,0.5
ede,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Herbal,1.0
edo,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Herbal,1.0
edom,0,0.0,0,0.0,2,1.4854426619132501,0,0.0,0,0.0,Herbal,1.0
edsh,0,0.0,0,0.0,0,0.0,1,0.9359790340696369,0,0.0,Recipes,1.0
edyda,0,0.0,2,2.898550724637681,2,1.4854426619132501,0,0.0,0,0.0,Biological,0.5
edyg,1,3.2938076416337285,0,0.0,0,0.0,1,0.9359790340696369,0,0.0,Astronomical,0.5
edylkeeo,0,0.0,0,0.0,2,1.4854426619132501,0,0.0,0,0.0,Herbal,1.0
edyok,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,1,5.497526113249038,Herbal,0.5
edyyt,1,3.2938076416337285,0,0.0,2,1.4854426619132501,1,0.9359790340696369,0,0.0,Herbal,0.5
ee,75,247.03557312252963,114,165.2173913043478,83,61.64587046939988,338,316.3609135155372,17,93.45794392523364,Recipes,0.5390749601275917
eea,3,9.881422924901186,0,0.0,2,1.4854426619132501,7,6.551853238487458,2,10.995052226498077,Recipes,0.5
eealk,1,3.2938076416337285,0,0.0,3,2.228163992869875,3,2.8079371022089106,0,0.0,Herbal,0.42857142857142855
eec,0,0.0,1,1.4492753623188406,1,0.7427213309566251,2,1.8719580681392738,0,0.0,Recipes,0.5
eech,0,0.0,0,0.0,0,0.0,2,1.8719580681392738,0,0.0,Recipes,1.0
eeck,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
eect,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
eecthe,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
eed,3,9.881422924901186,0,0.0,0,0.0,1,0.9359790340696369,0,0.0,Astronomical,0.75
eeda,0,0.0,1,1.4492753623188406,0,0.0,5,4.679895170348185,0,0.0,Recipes,0.8333333333333334
eedai,0,0.0,0,0.0,0,0.0,1,0.9359790340696369,0,0.0,Recipes,1.0
eedam,2,6.587615283267457,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
eedaram,0,0.0,0,0.0,0,0.0,2,1.8719580681392738,0,0.0,Recipes,1.0
eede,0,0.0,0,0.0,0,0.0,2,1.8719580681392738,0,0.0,Recipes,1.0
eedes,0,0.0,0,0.0,0,0.0,1,0.9359790340696369,2,10.995052226498077,Rosettes,0.6666666666666666
eedo,0,0.0,0,0.0,0,0.0,1,0.9359790340696369,0,0.0,Recipes,1.0
eee,1,3.2938076416337285,0,0.0,1,0.7427213309566251,2,1.8719580681392738,0,0.0,Recipes,0.5
eeed,1,3.2938076416337285,0,0.0,1,0.7427213309566251,4,3.7439161362785476,0,0.0,Recipes,0.6666666666666666
eeeda,0,0.0,1,1.4492753623188406,1,0.7427213309566251,2,1.8719580681392738,0,0.0,Recipes,0.5
eeedam,0,0.0,0,0.0,0,0.0,4,3.7439161362785476,0,0.0,Recipes,1.0
eeedc,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,1,5.497526113249038,Astronomical,0.5
eeeg,4,13.175230566534914,0,0.0,3,2.228163992869875,2,1.8719580681392738,0,0.0,Astronomical,0.4444444444444444
eeek,1,3.2938076416337285,0,0.0,4,2.9708853238265003,2,1.8719580681392738,2,10.995052226498077,Herbal,0.4444444444444444
eeeo,1,3.2938076416337285,0,0.0,0,0.0,2,1.8719580681392738,1,5.497526113249038,Recipes,0.5
eeeoc,1,3.2938076416337285,0,0.0,0,0.0,1,0.9359790340696369,3,16.492578339747116,Rosettes,0.6
eeeod,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Herbal,1.0
eeeoda,2,6.587615283267457,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
eeeos,0,0.0,2,2.898550724637681,1,0.7427213309566251,0,0.0,0,0.0,Biological,0.6666666666666666
eees,1,3.2938076416337285,1,1.4492753623188406,9,6.684491978609625,10,9.35979034069637,4,21.990104452996153,Recipes,0.4
eeesa,0,0.0,1,1.4492753623188406,2,1.4854426619132501,1,0.9359790340696369,0,0.0,Herbal,0.5
eeo,3,9.881422924901186,0,0.0,3,2.228163992869875,8,7.487832272557095,0,0.0,Recipes,0.5714285714285714
eeoa,0,0.0,1,1.4492753623188406,1,0.7427213309566251,3,2.8079371022089106,0,0.0,Recipes,0.6
eeod,0,0.0,0,0.0,2,1.4854426619132501,0,0.0,0,0.0,Herbal,1.0
eeoda,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Herbal,1.0
eeodai,0,0.0,0,0.0,0,0.0,1,0.9359790340696369,1,5.497526113249038,Recipes,0.5
eeodam,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Herbal,1.0
eeodct,3,9.881422924901186,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Astronomical,0.75
eeodo,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Herbal,1.0
eeoeet,2,6.587615283267457,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
eeok,1,3.2938076416337285,0,0.0,2,1.4854426619132501,1,0.9359790340696369,0,0.0,Herbal,0.5
eeolc,0,0.0,0,0.0,0,0.0,1,0.9359790340696369,0,0.0,Recipes,1.0
eeols,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Herbal,1.0
eeos,1,3.2938076416337285,0,0.0,6,4.45632798573975,5,4.679895170348185,1,5.497526113249038,Herbal,0.46153846153846156
eeosa,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Herbal,1.0
eeot,2,6.587615283267457,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Astronomical,0.6666666666666666
eepc,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
ees,3,9.881422924901186,1,1.4492753623188406,0,0.0,3,2.8079371022089106,4,21.990104452996153,Rosettes,0.36363636363636365
eesa,2,6.587615283267457,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
eesd,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
eese,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
eesh,1,3.2938076416337285,0,0.0,1,0.7427213309566251,3,2.8079371022089106,2,10.995052226498077,Recipes,0.42857142857142855
eesho,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Herbal,1.0
eeso,0,0.0,0,0.0,2,1.4854426619132501,1,0.9359790340696369,0,0.0,Herbal,0.6666666666666666
eesos,0,0.0,0,0.0,4,2.9708853238265003,1,0.9359790340696369,1,5.497526113249038,Herbal,0.6666666666666666
eetees,2,6.587615283267457,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Astronomical,0.6666666666666666
ef,2,6.587615283267457,0,0.0,2,1.4854426619132501,2,1.8719580681392738,0,0.0,Astronomical,0.3333333333333333
efom,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Herbal,1.0
eg,5,16.46903820816864,2,2.898550724637681,0,0.0,1,0.9359790340696369,0,0.0,Astronomical,0.625
eh,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Herbal,1.0
ei,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
eieda,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
ek,6,19.76284584980237,4,5.797101449275362,1,0.7427213309566251,2,1.8719580681392738,0,0.0,Astronomical,0.46153846153846156
eka,2,6.587615283267457,0,0.0,3,2.228163992869875,0,0.0,0,0.0,Herbal,0.6
ekais,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
ekc,0,0.0,0,0.0,0,0.0,2,1.8719580681392738,0,0.0,Recipes,1.0
ekch,2,6.587615283267457,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
eke,3,9.881422924901186,1,1.4492753623188406,2,1.4854426619132501,2,1.8719580681392738,0,0.0,Astronomical,0.375
ekea,3,9.881422924901186,0,0.0,0,0.0,1,0.9359790340696369,0,0.0,Astronomical,0.75
ekee,0,0.0,0,0.0,0,0.0,2,1.8719580681392738,0,0.0,Recipes,1.0
ekeeo,2,6.587615283267457,2,2.898550724637681,0,0.0,3,2.8079371022089106,0,0.0,Recipes,0.42857142857142855
ekees,2,6.587615283267457,0,0.0,1,0.7427213309566251,0,0.0,2,10.995052226498077,Astronomical,0.4
ekeo,1,3.2938076416337285,0,0.0,1,0.7427213309566251,2,1.8719580681392738,2,10.995052226498077,Recipes,0.3333333333333333
ekes,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
eko,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Herbal,1.0
ekoke,0,0.0,0,0.0,1,0.7427213309566251,2,1.8719580681392738,0,0.0,Recipes,0.6666666666666666
eksh,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
el,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
en,2,6.587615283267457,3,4.3478260869565215,7,5.199049316696375,3,2.8079371022089106,1,5.497526113249038,Herbal,0.4375
eo,43,141.6337285902503,6,8.695652173913043,98,72.78669043374926,36,33.69524522650693,1,5.497526113249038,Herbal,0.532608695652174
eoa,2,6.587615283267457,0,0.0,0,0.0,1,0.9359790340696369,0,0.0,Astronomical,0.6666666666666666
eod,2,6.587615283267457,0,0.0,0,0.0,1,0.9359790340696369,1,5.497526113249038,Astronomical,0.5
eoda,4,13.175230566534914,0,0.0,5,3.7136066547831255,0,0.0,0,0.0,Herbal,0.5555555555555556
eodaro,0,0.0,0,0.0,0,0.0,1,0.9359790340696369,0,0.0,Recipes,1.0
eodeea,1,3.2938076416337285,0,0.0,0,0.0,1,0.9359790340696369,0,0.0,Astronomical,0.5
eodoiinsaroqoches,0,0.0,2,2.898550724637681,3,2.228163992869875,6,5.615874204417821,0,0.0,Recipes,0.5454545454545454
eodychoda,1,3.2938076416337285,0,0.0,2,1.4854426619132501,0,0.0,0,0.0,Herbal,0.6666666666666666
eoede,1,3.2938076416337285,1,1.4492753623188406,0,0.0,0,0.0,0,0.0,Astronomical,0.5
eoees,1,3.2938076416337285,0,0.0,1,0.7427213309566251,4,3.7439161362785476,0,0.0,Recipes,0.6666666666666666
eoef,0,0.0,0,0.0,2,1.4854426619132501,0,0.0,0,0.0,Herbal,1.0
eoek,3,9.881422924901186,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
eog,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
eok,1,3.2938076416337285,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Astronomical,0.5
