word,category,liquid_score,solid_score,total_context,current_meaning
"6,+P0;c>",Neutral,0.60,0.40,15,Unknown
"2,+P0;H>",Liquid,0.93,0.07,15,Unknown
"2,+P0;m>",Liquid,0.80,0.20,15,Unknown
shaiin,Neutral,0.33,0.67,15,root/rhizome
teey,Neutral,0.60,0.40,15,unknown_object
"4,+P0;H>",Neutral,0.53,0.47,15,Unknown
"4,+P0;F>",Neutral,0.60,0.40,15,Unknown
dai?n,Liquid,0.80,0.20,15,ingredient_candidate
okedal,Liquid,1.00,0.00,15,plant_candidate
kol,Neutral,0.47,0.53,15,all/voice
oldy,Neutral,0.40,0.60,15,plant_candidate
chdor,Neutral,0.33,0.67,15,[COLOR_RED]
rain,Liquid,0.73,0.27,15,noun / ingredient
shear,Neutral,0.40,0.60,15,root (shoresh)
cheeol,Liquid,1.00,0.00,15,sick person
pchdy,Neutral,0.60,0.40,15,verb / imperative
okchedy,Neutral,0.67,0.33,15,specific_plant (f50r)
dsheol,Neutral,0.67,0.33,15,[PLANT NAME]
keol,Liquid,0.93,0.07,14,garlic
eedy,Neutral,0.64,0.36,14,unknown_object
ykedy,Liquid,0.93,0.07,14,And verb form
qotchy,Neutral,0.43,0.57,14,finger
oteol,Neutral,0.43,0.57,14,plant_candidate
otees,Neutral,0.50,0.50,14,tree
chky,Solid,0.29,0.71,14,plant_candidate
oteos,Liquid,0.71,0.29,14,The Tree
tshey,Liquid,1.00,0.00,14,verb / imperative
okeeey,Liquid,0.86,0.14,14,plant_candidate
arol,Solid,0.07,0.93,14,flower/handful (derivative)
qok,Liquid,0.71,0.29,14,plant_candidate (morphological_derivative (qo- + k))
ror,Neutral,0.57,0.43,14,Unknown
pol,Neutral,0.64,0.36,14,skin
otai?n,Neutral,0.50,0.50,14,plant_candidate
olkal,Liquid,0.71,0.29,14,noun / ingredient
lcheedy,Neutral,0.43,0.57,14,[COLOR_RED]
sheody,Neutral,0.64,0.36,14,verb form
"6,+P0;H>",Neutral,0.46,0.54,13,Unknown
"3,+P0;F>",Neutral,0.46,0.54,13,Unknown
"3,+P0;m>",Neutral,0.46,0.54,13,Unknown
"2,+P0;c>",Liquid,0.77,0.23,13,Unknown
odar,Neutral,0.46,0.54,13,plant_candidate (morphological_derivative (o- + dar))
chs,Neutral,0.54,0.46,13,preposition/conjunction
chedain,Liquid,0.92,0.08,13,plant_candidate
okair,Neutral,0.62,0.38,13,plant_candidate
pchedar,Neutral,0.54,0.46,13,unknown_object
ot,Liquid,0.77,0.23,13,red/brown
lteedy,Liquid,1.00,0.00,13,verb / imperative
sheckhedy,Solid,0.08,0.92,13,Unknown
rchedy,Neutral,0.31,0.69,13,verb / imperative
olkeeey,Solid,0.23,0.77,13,plant_candidate
qotchedy,Neutral,0.31,0.69,13,ingredient_candidate
qochey,Solid,0.00,1.00,13,verb / imperative
kchol,Neutral,0.58,0.42,12,lily
ydaiin,Liquid,1.00,0.00,12,And from the spring / take water
"9,+P0;F>",Neutral,0.58,0.42,12,Unknown
"2,+P0;F>",Liquid,0.75,0.25,12,Unknown
"5,+P0;F>",Neutral,0.58,0.42,12,Unknown
oldar,Solid,0.00,1.00,12,unknown_object
"4,+P0;C>",Neutral,0.58,0.42,12,Unknown
keeol,Neutral,0.67,0.33,12,ingredient_candidate
"11,+P0;F>",Neutral,0.67,0.33,12,Unknown
chechey,Neutral,0.50,0.50,12,plant_term
cho,Neutral,0.50,0.50,12,plant_candidate
chckhdy,Solid,0.00,1.00,12,unknown_object
shekam,Liquid,1.00,0.00,12,Unknown
arodl,Solid,0.00,1.00,12,plant:polygonum
ytar,Neutral,0.33,0.67,12,And earth
orol,Neutral,0.50,0.50,12,unknown_object
chokeey,Solid,0.00,1.00,12,plant_candidate
chokal,Liquid,1.00,0.00,12,plant:geranium
soiin,Liquid,0.83,0.17,12,seed
lol<-><figure>,Liquid,1.00,0.00,12,Unknown
qolky,Liquid,1.00,0.00,12,[COLOR_GREEN]
qoky<-><figure>,Liquid,1.00,0.00,12,Unknown
pchor,Neutral,0.67,0.33,12,flower (perach)
shek,Solid,0.00,1.00,12,ingredient_candidate
lkchedy,Liquid,1.00,0.00,12,ingredient_candidate
okaly,Liquid,1.00,0.00,12,plant_candidate
lchy<-><figure>,Liquid,1.00,0.00,12,Unknown
qoteor,Liquid,1.00,0.00,12,plant_term
otor,Neutral,0.33,0.67,12,earth
qodaiin,Neutral,0.67,0.33,12,plant_candidate (morphological_derivative (qo- + daiin))
qokeody,Neutral,0.33,0.67,12,wheat
okeeol,Liquid,1.00,0.00,12,unknown_object
otair,Neutral,0.50,0.50,12,earth
oteeo,Liquid,1.00,0.00,12,ingredient_candidate
qokeeol,Liquid,0.92,0.08,12,Unknown
"10,+P0;m>",Liquid,0.91,0.09,11,Unknown
"9,+P0;c>",Neutral,0.64,0.36,11,Unknown
"5,+P0;H>",Neutral,0.64,0.36,11,Unknown
"5,+P0;m>",Neutral,0.55,0.45,11,Unknown
"14,+P0;F>",Neutral,0.55,0.45,11,Unknown
dl,Liquid,1.00,0.00,11,unknown_object
oraiin,Liquid,1.00,0.00,11,plant_candidate
"10,+P0;H>",Liquid,0.73,0.27,11,Unknown
qoeedaiin,Neutral,0.55,0.45,11,ingredient_candidate
polchedy,Neutral,0.45,0.55,11,verb / imperative
qotaly,Liquid,1.00,0.00,11,plant_term
qokedal,Liquid,1.00,0.00,11,Unknown
choty,Neutral,0.36,0.64,11,plant_candidate
qotor,Neutral,0.45,0.55,11,morphological_derivative (qo- + tor)
ockhey,Solid,0.18,0.82,11,plant_candidate
shody,Liquid,1.00,0.00,11,verb
oteodaiin,Liquid,1.00,0.00,11,plant_candidate
chos,Solid,0.00,1.00,11,plant_candidate
oteor,Solid,0.27,0.73,11,earth
opchey,Solid,0.00,1.00,11,flower
okchdy,Liquid,1.00,0.00,11,plant_candidate
"33,+P0;H>",Neutral,0.55,0.45,11,Unknown
olor<$>,Neutral,0.45,0.55,11,Unknown
ral,Neutral,0.36,0.64,11,Unknown
olshey,Neutral,0.45,0.55,11,plant_candidate
okeed,Neutral,0.55,0.45,11,Unknown
olsheey,Liquid,1.00,0.00,11,plant:holm
"33,+P0;F>",Neutral,0.64,0.36,11,Unknown
oiiin,Neutral,0.64,0.36,11,plant_candidate
"26,+P0;H>",Liquid,0.82,0.18,11,Unknown
okalor,Liquid,1.00,0.00,11,plant_candidate
shockhy,Neutral,0.45,0.55,11,plant_term
aror,Solid,0.09,0.91,11,Unknown
qokshey,Liquid,0.91,0.09,11,Unknown
qoal,Liquid,1.00,0.00,11,noun / ingredient
okedar,Liquid,1.00,0.00,11,plant_candidate
dolor,Liquid,1.00,0.00,11,pain
keeo,Neutral,0.36,0.64,11,unknown_object
cheokaiin,Liquid,1.00,0.00,11,plant:uva quercina (Collection of / Set of)
qoteo,Neutral,0.64,0.36,11,plant:cyanus
ycheey,Solid,0.00,1.00,11,morphological_derivative (y- + cheey)
lchdy,Liquid,1.00,0.00,11,sick person
chkeey,Neutral,0.55,0.45,11,strength/power
"11,+P0;H>",Neutral,0.70,0.30,10,Unknown
"13,+P0;m>",Neutral,0.60,0.40,10,Unknown
"15,+P0;H>",Neutral,0.40,0.60,10,Unknown
"15,+P0;F>",Neutral,0.50,0.50,10,Unknown
"9,+P0;m>",Neutral,0.70,0.30,10,Unknown
qokchol,Neutral,0.30,0.70,10,lily
"5,+P0;c>",Neutral,0.50,0.50,10,Unknown
dchey,Solid,0.10,0.90,10,one
okedor,Neutral,0.40,0.60,10,plant_candidate
sches,Neutral,0.40,0.60,10,noun / ingredient
rair,Neutral,0.70,0.30,10,Unknown
"3,+P0;c>",Neutral,0.40,0.60,10,Unknown
ckheos,Neutral,0.50,0.50,10,Unknown
"11,+P0;m>",Neutral,0.70,0.30,10,Unknown
"14,+P0;m>",Neutral,0.40,0.60,10,Unknown
kshedy,Neutral,0.40,0.60,10,plant_term (imperative/action)
kair,Neutral,0.60,0.40,10,noun / ingredient
?,Solid,0.10,0.90,10,noun / ingredient
dchdy,Neutral,0.40,0.60,10,verb / imperative
pchdar,Liquid,1.00,0.00,10,plant_term
qokchd,Neutral,0.50,0.50,10,Unknown
chaiin,Liquid,1.00,0.00,10,plant_candidate
alkar,Solid,0.00,1.00,10,Unknown
aral,Solid,0.00,1.00,10,unknown_object
okeeor,Liquid,0.90,0.10,10,plant_candidate
okeo,Neutral,0.40,0.60,10,plant_candidate
"17,+P0;H>",Neutral,0.40,0.60,10,Unknown
ldy<-><figure>,Liquid,1.00,0.00,10,Unknown
"33,+P0;m>",Neutral,0.50,0.50,10,Unknown
"17,+P0;m>",Neutral,0.30,0.70,10,Unknown
qok?l,Liquid,0.90,0.10,10,ingredient_candidate
alchedy,Neutral,0.60,0.40,10,verb / imperative
qolkeedy,Liquid,1.00,0.00,10,[COLOR_GREEN]
shdal,Liquid,1.00,0.00,10,[PLANT NAME]
chedol,Liquid,1.00,0.00,10,ingredient_candidate
qokl,Liquid,1.00,0.00,10,ingredient_candidate
ocheey,Neutral,0.60,0.40,10,unknown_object
shal,Liquid,0.90,0.10,10,unknown_object
dchol,Liquid,1.00,0.00,10,morphological_derivative (d- + chol)
om,Neutral,0.30,0.70,10,plant_candidate
aii?n,Solid,0.20,0.80,10,Unknown
shdar,Neutral,0.40,0.60,10,scabiosa
oar,Neutral,0.60,0.40,10,plant_candidate
qokshd,Neutral,0.40,0.60,10,holy
qockhy,Liquid,1.00,0.00,10,unknown_object
lky,Liquid,0.90,0.10,10,ingredient_candidate
qokeod,Neutral,0.50,0.50,10,valerian
sheod,Neutral,0.50,0.50,10,[GRAMMAR]
cheokeey,Neutral,0.50,0.50,10,plant_term
keedal,Neutral,0.50,0.50,10,Papaver (variant?)
rcheetey,Neutral,0.50,0.50,10,Unknown
oteolair,Neutral,0.50,0.50,10,Unknown
